Isotope	Element	Mass_Isotope	conc	Coh_b	realCoh_b	ImCoh_b	Inc_b	realInc_b	ImInc_b	Coh_xs	Inc_xs	Scatt_xs	Abs_xs
155Gd	Gd	155	14.8	6.0-17.0i	6.0	-17.0	(+/-)5.(5.)-13.16i	(+/-)5.(5.)	-13.16	40.8	25.(6.)	66.(6.)	61100.(400.)
156Gd	Gd	156	20.6	6.3	6.3	0.0	0	0	0	5	0	5	1.5(1.2)
157Gd	Gd	157	15.7	-1.14-71.9i	-1.14	-71.9	(+/-)5.(5.)-55.8i	(+/-)5.(5.)	-55.8	650.(4.)	394.(7.)	1044.(8.)	259000.(700.)
158Gd	Gd	158	24.8	9.(2.)	9.(2.)	0.0	0	0	0	10.(5.)	0	10.(5.)	2.2
160Gd	Gd	160	21.8	9.15	9.15	0.0	0	0	0	10.52	0	10.52	0.77
Tb	Tb	---	100	7.38	7.38	0.0	-0.17	-0.17	0.0	6.84	0.004	6.84	23.4
Dy	Dy	---	---	16.9-0.276i	16.9	-0.276	---	---	---	35.9	54.4(1.2)	90.3	994.(13.)
156Dy	Dy	156	0.06	6.1	6.1	0.0	0	0	0	4.7	0	4.7	33.(3.)
158Dy	Dy	158	0.1	6.(4.)	6.(4.)	0.0	0	0	0	5.(6.)	0	5.(6.)	43.(6.)
160Dy	Dy	160	2.34	6.7	6.7	0.0	0	0	0	5.6	0	5.6	56.(5.)
161Dy	Dy	161	19	10.3	10.3	0.0	(+/-)4.9	(+/-)4.9	0.0	13.3	3.(1.)	16.(1.)	600.(25.)
162Dy	Dy	162	25.5	-1.4	-1.4	0.0	0	0	0	0.25	0	0.25	194.(10.)
163Dy	Dy	163	24.9	5.0	5.0	0.0	1.3	1.3	0.0	3.1	0.21	3.3	124.(7.)
164Dy	Dy	164	28.1	49.4-0.79i	49.4	-0.79	0	0	0	307.(3.)	0	307.(3.)	2840.(40.)
Ho	Ho	---	100	8.01	8.01	0.0	-1.70	-1.70	0.0	8.06	0.36	8.42	64.7(1.2)
Er	Er	---	---	7.79	7.79	0.0	---	---	---	7.63	1.1	8.7	159.(4.)
162Er	Er	162	0.14	8.8	8.8	0.0	0	0	0	9.7	0	9.7	19.(2.)
164Er	Er	164	1.56	8.2	8.2	0.0	0	0	0	8.4	0	8.4	13.(2.)
166Er	Er	166	33.4	10.6	10.6	0.0	0	0	0	14.1	0	14.1	19.6(1.5)
167Er	Er	167	22.9	3.0	3.0	0.0	1.0	1.0	0.0	1.1	0.13	1.2	659.(16.)
168Er	Er	168	27.1	7.4	7.4	0.0	0	0	0	6.9	0	6.9	2.74
170Er	Er	170	14.9	9.6	9.6	0.0	0	0	0	11.6	0	11.6(1.2)	5.8
