Atomic_number	Element	Isotopes	Mass	Concentration	bc	bc_error	r_bi	r_bi_error	im_bi	im_bi_error	sigma_a	sigma_a_error	Inc_xs	siggam	sigma_i	
54	Xe	132	131.904153	26.9	---	---	0	0	0	0	0.45	0.06	0	0	1	
54	Xe	134	133.905394	10.4	---	---	0	0	0	0	0.265	0.02	0	0	1	
54	Xe	136	135.907219	8.9	---	---	0	0	0	0	0.26	0.02	0	0	1	
55	Cs	---	132.9054519	100	5.42	0.02	1.29	0.15	0.0	0	29.0	1.5	0.21	5	0.01	
56	Ba	---	137.327	---	5.07	0.03	---	0	---	0	1.1	0.1	0.15	11	0.01	
56	Ba	130	129.906321	0.11	-3.6	0.6	0	0	0	0	30	5	0	0	1	
56	Ba	132	131.905061	0.1	7.8	0.3	0	0	0	0	7.0	0.8	0	0	1	
56	Ba	134	133.904508	2.42	5.7	0.1	0	0	0	0	2.0	1.6	0	0	1	
56	Ba	135	134.905689	6.59	4.67	0.1	---	0	---	0	5.8	0.9	0.5	5	0.1	
56	Ba	136	135.904576	7.85	4.91	0.08	0	0	0	0	0.68	0.17	0	0	1	
56	Ba	137	136.905827	11.23	6.83	0.1	---	0	---	0	3.6	0.2	0.5	5	0.1	
56	Ba	138	137.905247	71.7	4.84	0.08	0	0	0	0	0.27	0.14	0	0	1	
57	La	---	138.90547	---	8.24	0.04	---	0	---	0	8.97	0.04	1.13	19	0.01	
57	La	138	137.907112	0.09	8.	2	---	0	---	0	57	6	0.5	5	0.1	
57	La	139	138.906353	99.91	8.24	0.04	3.0	0.2	0.0	0	8.93	0.04	1.13	15	0.01	
58	Ce	---	140.116	---	4.84	0.02	---	0	---	0	0.63	0.04	0.00	10	0.001	
58	Ce	136	135.907172	0.19	5.80	0.09	0	0	0	0	7.3	1.5	0	0	1	
58	Ce	138	137.905991	0.25	6.70	0.09	0	0	0	0	1.1	0.3	0	0	1	
58	Ce	140	139.905439	88.48	4.84	0.09	0	0	0	0	0.57	0.04	0	0	1	
58	Ce	142	141.909244	11.08	4.75	0.09	0	0	0	0	0.95	0.05	0	0	1	
59	Pr	---	140.90765	100	4.58	0.05	-0.35	0.03	0.0	0	11.5	0.3	0.015	3	0.001	
60	Nd	---	144.242	---	7.69	0.05	---	0	---	0	50.5	1.2	9.2	8	0.1	
